supplier_name,supplier_group,country,supplier_type
Carborundum Universal Ltd,Abrasive Raw Material Suppliers,India,Company
Grindwell Norton Ltd,Abrasive Raw Material Suppliers,India,Company
Wendt India Ltd,Abrasive Raw Material Suppliers,India,Company
Bakelite Hylam Ltd,Abrasive Raw Material Suppliers,India,Company
Saint-Gobain Abrasives India Pvt Ltd,Abrasive Raw Material Suppliers,India,Company
Elmec Abrasives Pvt Ltd,Abrasive Raw Material Suppliers,India,Company
Metabo Power Tools India Pvt Ltd,Machine & Tool Import Suppliers,India,Company
Bosch Power Tools India,Machine & Tool Import Suppliers,India,Company
Fein Power Tools GmbH,Machine & Tool Import Suppliers,Germany,Company
Taiwan Pneumatic Tools Co Ltd,Machine & Tool Import Suppliers,Taiwan,Company
Shanghai Polishing Machinery Co Ltd,Machine & Tool Import Suppliers,China,Company
Makita India Pvt Ltd,Machine & Tool Import Suppliers,India,Company
