supplier_name,supplier_group,country,supplier_type
Maruti Suzuki India Ltd,Raw Material,India,Company
Hyundai Motor India Ltd,Raw Material,India,Company
Tata Motors Ltd,Raw Material,India,Company
Bosch India Ltd,Raw Material,India,Company
Minda Industries Ltd,Raw Material,India,Company
MRF Tyres Ltd,Raw Material,India,Company
Apollo Tyres Ltd,Raw Material,India,Company
Castrol India Ltd,Raw Material,India,Company
Motherson Sumi Systems,Raw Material,India,Company
Lumax Industries Ltd,Raw Material,India,Company
