customer_name,customer_group,territory,customer_type
Bharat Pharma Ltd,Commercial,India,Company
PaintCo Industries,Commercial,India,Company
Textile Dyes Corp,Commercial,India,Company
AgroChemicals India,Commercial,India,Company
Gulf Chemical Exports,Commercial,Rest Of The World,Company
Sunrise Soap Works,Commercial,India,Company
Modern Plastics Pvt Ltd,Commercial,India,Company
National Water Authority,Government,India,Company
EastWest Chemicals FZE,Commercial,Rest Of The World,Company
Medichem Laboratories,Commercial,India,Company
Urban Cleaning Services,Commercial,India,Company
Green Earth Agro,Commercial,India,Company
