supplier_name,supplier_group,country,supplier_type
BASF India Pvt Ltd,Raw Material,India,Company
Gujarat Alkalies Ltd,Raw Material,India,Company
Tata Chemicals Ltd,Raw Material,India,Company
Merck Life Science,Raw Material,India,Company
Solvay Chemicals India,Raw Material,India,Company
National Solvents Corp,Raw Material,India,Company
Shin-Etsu Chemical India,Raw Material,India,Company
Chemplast Packaging,Services,India,Company
Reliance Industries Ltd,Raw Material,India,Company
SRF Limited,Raw Material,India,Company
