customer_name,customer_group,territory,customer_type
More Retail Supermarkets,Commercial,India,Company
D-Mart Stores Pvt Ltd,Commercial,India,Company
Reliance Smart Bazaar,Commercial,India,Company
Star Bazaar (Tata),Commercial,India,Company
Big Bazaar Future Retail,Commercial,India,Company
Spar Hypermarkets India,Commercial,India,Company
Nature's Basket Gourmet,Commercial,India,Company
Nilgiris Supermarkets,Commercial,India,Company
Sangam Direct Pvt Ltd,Commercial,India,Company
Metro Cash & Carry India,Commercial,India,Company
Jio Mart Grocery,Commercial,India,Company
Walmart India Pvt Ltd,Commercial,India,Company
