supplier_name,supplier_group,country,supplier_type
Hindustan Unilever Ltd,Raw Material,India,Company
Nestle India Ltd,Raw Material,India,Company
ITC Limited,Raw Material,India,Company
Britannia Industries Ltd,Raw Material,India,Company
Dabur India Ltd,Raw Material,India,Company
Marico Ltd,Raw Material,India,Company
Godrej Consumer Products,Raw Material,India,Company
Procter & Gamble India,Raw Material,India,Company
Colgate Palmolive India,Raw Material,India,Company
Parle Products Pvt Ltd,Raw Material,India,Company
