customer_name,customer_group,territory,customer_type
MSEDCL Maharashtra State Electricity Distribution,Government,India,Company
KSEB Limited Kerala,Government,India,Company
TSSPDCL Telangana Southern Power Distribution,Government,India,Company
Torrent Power Limited,Commercial,India,Company
Adani Electricity Mumbai Limited,Commercial,India,Company
L&T Power Transmission Division,EPC Contractors,India,Company
Tata Projects Limited,EPC Contractors,India,Company
BHEL Power Sector Bhopal,Government,India,Company
Skipper Limited Kolkata,Commercial,India,Company
Indo-Gulf Fertilisers Limited,Industrial Consumers,India,Company
National Thermal Power Corporation,Government,India,Company
Gulf Power Infrastructure LLC,Export Clients,Rest Of The World,Company
