supplier_name,supplier_group,country,supplier_type
Hindalco Industries Ltd,Conductor Suppliers,India,Company
Sterlite Technologies Ltd,Conductor Suppliers,India,Company
Tata Steel Ltd,Steel Suppliers,India,Company
Indian Oil Corporation Ltd,Insulating Oil Suppliers,India,Company
Neyco India Pvt Ltd,Insulation Material Suppliers,India,Company
Siemens India Ltd,Switchgear Components,India,Company
ABB India Ltd,Switchgear Components,India,Company
Bharat Bijlee Ltd,Components Suppliers,India,Company
Jyoti Ltd Vadodara,Hardware Suppliers,India,Company
SRM Packaging Systems,Packaging Suppliers,India,Company
