customer_name,customer_group,territory,customer_type
NTPC Limited,Commercial,India,Company
Adani Power Ltd,Commercial,India,Company
Reliance Industries Ltd,Commercial,India,Company
Maharashtra State Electricity Board,Government,India,Company
Tata Steel Ltd,Commercial,India,Company
ONGC Petro Additions,Commercial,India,Company
L&T Construction,Commercial,India,Company
SAIL Steel Plants,Government,India,Company
Bharat Petroleum Corp,Government,India,Company
HPCL Refineries,Government,India,Company
Welspun Corp Ltd,Commercial,India,Company
JSW Energy Ltd,Commercial,India,Company
