supplier_name,supplier_group,country,supplier_type
TATA Steel Ltd,Raw Material,India,Company
UltraTech Cement Ltd,Raw Material,India,Company
Siemens India Ltd,Raw Material,India,Company
ABB India Ltd,Raw Material,India,Company
L&T Electrical & Automation,Raw Material,India,Company
Kirloskar Brothers Ltd,Raw Material,India,Company
APL Apollo Tubes,Raw Material,India,Company
Finolex Cables Ltd,Raw Material,India,Company
Honeywell Automation India,Raw Material,India,Company
KEC International Ltd,Services,India,Company
