supplier_name,supplier_group,country,supplier_type
Samsung SDI India Pvt Ltd,Battery Cell Suppliers,India,Company
LG Energy Solution Korea,Battery Cell Suppliers,South Korea,Company
Bosch India Pvt Ltd,Electronics Suppliers,India,Company
Tata AutoComp Systems Ltd,Structural Suppliers,India,Company
Panasonic EV Systems Japan,Electronics Suppliers,Japan,Company
Minda Industries Ltd,Electrical Suppliers,India,Company
JK Tyre and Industries Ltd,Tyre Suppliers,India,Company
SKF India Ltd,Components Suppliers,India,Company
Steel Authority of India Ltd,Structural Suppliers,India,Company
SRM Packaging Systems,Packaging Suppliers,India,Company
