supplier_name,supplier_group,country
Cipla Ltd,Pharmaceutical Suppliers,India
Sun Pharma,Pharmaceutical Suppliers,India
Dr Reddys Laboratories,Pharmaceutical Suppliers,India
Lupin Pharmaceuticals,Pharmaceutical Suppliers,India
Mankind Pharma,Pharmaceutical Suppliers,India
Hindustan Syringes and Medical Devices,Medical Device Suppliers,India
BPL Medical Technologies,Medical Device Suppliers,India
Trivitron Healthcare,Medical Device Suppliers,India
Dräger Medical India,Medical Device Suppliers,India
Poly Medicure Ltd,Medical Device Suppliers,India
