customer_name,customer_group,territory,customer_type
Jake Thompson,Retail Players,United States,Individual
Emily Nguyen,Retail Players,United States,Individual
Marcus Williams,Retail Players,United States,Individual
Sofia Patel,Retail Players,United States,Individual
Ryan Kowalski,Retail Players,United States,Individual
Danielle Foster,Retail Players,United States,Individual
Tyler Brooks,Retail Players,United States,Individual
Aisha Johnson,Online Customers,United States,Individual
Connor Mitchell,Online Customers,United States,Individual
Priya Sharma,Online Customers,United States,Individual
Derek Okafor,Online Customers,United States,Individual
Hannah Reyes,Online Customers,United States,Individual
Cards & Comics Corner,Wholesale LGS,United States,Company
The Battleground Game Store,Wholesale LGS,United States,Company
Dragon's Lair Austin,Wholesale LGS,United States,Company
Mythic Realm Games,Wholesale LGS,United States,Company
Critical Hit Comics & Games,Wholesale LGS,United States,Company
