customer_name,customer_group,territory,customer_type
Sunfeast Bakes & Beverages Ltd,Commercial,India,Company
Vitalize Nutraceuticals Pvt Ltd,Commercial,India,Company
Freshbrew Beverage Co,Commercial,India,Company
Naturo Wellness Foods,Commercial,India,Company
Healthspring Supplements Pvt Ltd,Commercial,India,Company
Golden Harvest Bakery Ingredients,Commercial,India,Company
PureLife Functional Foods,Commercial,India,Company
Zenith Sports Nutrition Ltd,Commercial,India,Company
Aromatica Flavours Trading FZE,Commercial,Rest Of The World,Company
Kissan Fresh Dairy & Beverages,Commercial,India,Company
Botanica Herbal Extracts Exports,Commercial,Rest Of The World,Company
Nutriboost Formulations Pvt Ltd,Commercial,India,Company
Sweetline Confectionery Ingredients,Commercial,India,Company
Vedanta Ayurvedic Nutraceuticals,Commercial,India,Company
Everwell Baby & Infant Nutrition,Commercial,India,Company
