supplier_name,supplier_group,country,supplier_type
Malabar Botanicals Pvt Ltd,Raw Material,India,Company
Deccan Herb Farms,Raw Material,India,Company
Konkan Agro Extracts,Raw Material,India,Company
Himalayan Herbal Sourcing Co,Raw Material,India,Company
National Food Chemicals Ltd,Raw Material,India,Company
Gujarat Solvents & Esters Pvt Ltd,Raw Material,India,Company
Sanjeevani Collagen Industries,Raw Material,India,Company
Krishna Agro Processors,Raw Material,India,Company
Bharat Enzyme Technologies,Raw Material,India,Company
Silverline Packaging Solutions,Services,India,Company
Coastal Spice & Botanical Traders,Raw Material,India,Company
Amrit Food Ingredients Corp,Raw Material,India,Company
Vindhya Maltose & Starch Mills,Raw Material,India,Company
Ecofresh Cold Chain Logistics,Services,India,Company
Sunrise Citric & Acidulants Ltd,Raw Material,India,Company
