customer_name,customer_group,territory,customer_type
Sunrise Bakeries & Confectionery Ltd,Commercial,India,Company
Golden Harvest Foods Pvt Ltd,Commercial,India,Company
Coastal Marine Ingredients Exports Pvt Ltd,Commercial,India,Company
Vindhya Snacks & Namkeen Pvt Ltd,Commercial,India,Company
Everfresh Dairy Products Ltd,Commercial,India,Company
Deccan Beverages Pvt Ltd,Commercial,India,Company
Malabar Spice Exports Pvt Ltd,Commercial,India,Company
Nutrifoods India Pvt Ltd,Commercial,India,Company
Himalayan Confectionery Works,Commercial,India,Company
Anand Sweets & Snacks Pvt Ltd,Commercial,India,Company
Rajdhani Flour Mills Pvt Ltd,Commercial,India,Company
Southern Star Food Processors Pvt Ltd,Commercial,India,Company
Blue Ocean Seafood Exports Pvt Ltd,Commercial,India,Company
Krishna Valley Agro Foods Ltd,Commercial,India,Company
Metro Bakery Ingredients Pvt Ltd,Commercial,India,Company
Sagar Ice Cream & Desserts Pvt Ltd,Commercial,India,Company
Ganges Cereal Foods Pvt Ltd,Commercial,India,Company
Pearl Nutraceuticals Pvt Ltd,Commercial,India,Company
Emerald Export House (Food Division),Commercial,India,Company
Nova Foods Manufacturing Pvt Ltd,Commercial,India,Company
