supplier_name,supplier_group,country,supplier_type
Gujarat Ambuja Exports Ltd,Bulk Agri & Commodity Suppliers,India,Company
Sukhjit Corn Products,Bulk Agri & Commodity Suppliers,India,Company
Spices Board India,Bulk Agri & Commodity Suppliers,India,Company
VKC Nuts Private Limited,Bulk Agri & Commodity Suppliers,India,Company
AQUAGRI PROCESSING PRIVATE LIMITED,Bulk Agri & Commodity Suppliers,India,Company
Malaysian Palm Oil Council,Bulk Agri & Commodity Suppliers,Malaysia,Company
H.L. AGRO PRODUCTS PVT LTD,Bulk Agri & Commodity Suppliers,India,Company
Dhampur Bio Organics Ltd,Bulk Agri & Commodity Suppliers,India,Company
Regaal Resources Limited,Bulk Agri & Commodity Suppliers,India,Company
KMC (Denmark),Bulk Agri & Commodity Suppliers,Denmark,Company
Azelis India Pvt Ltd,Broad-line Distributors & Traders,India,Company
Barentz Distribution India Private Limited,Broad-line Distributors & Traders,India,Company
Brenntag Ingredients (India) Private Limited,Broad-line Distributors & Traders,India,Company
Caldic Specialities India Private Limited,Broad-line Distributors & Traders,India,Company
DKSH India Pvt Ltd,Broad-line Distributors & Traders,India,Company
IMCD India Pvt Ltd,Broad-line Distributors & Traders,India,Company
SGS India Pvt Ltd,Compliance & Testing Services,India,Company
