customer_name,customer_group,territory,customer_type
Meghna Jewels Wholesale,Commercial,India,Company
Kalyan Jewellers Ltd,Commercial,India,Company
Tanishq Retail Chain,Commercial,India,Company
Gulf Jewellery Trading LLC,Commercial,Rest Of The World,Company
Malabar Gold Exports,Commercial,Rest Of The World,Company
Joy Alukkas Pvt Ltd,Commercial,India,Company
PC Chandra Jewellers,Commercial,India,Company
Tribhovandas Bhimji Zaveri,Commercial,India,Company
Dubai Jewellery Group,Commercial,Rest Of The World,Company
Reliance Jewels Pvt Ltd,Commercial,India,Company
Senco Gold Ltd,Commercial,India,Company
Khazana Jewellery Pvt Ltd,Commercial,India,Company
