supplier_name,supplier_group,country,supplier_type
MMTC-PAMP India Pvt Ltd,Raw Material,India,Company
Rajesh Exports Ltd,Raw Material,India,Company
Axis Bank Bullion Desk,Raw Material,India,Company
Surat Diamond Bourse,Raw Material,India,Company
De Beers India,Raw Material,India,Company
Gitanjali Gems Ltd,Raw Material,India,Company
Gili India Ltd,Raw Material,India,Company
Orra Fine Jewellery,Services,India,Company
Mahavir Diamond,Raw Material,India,Company
SGL Hallmarking Center,Services,India,Company
