supplier_name,supplier_group,country,supplier_type
Hatchbox Filaments Inc,Filament Suppliers,United States,Company
eSUN International,Filament Suppliers,China,Company
Elegoo Technology,Resin Suppliers,China,Company
Phrozen Technology,Resin Suppliers,Taiwan,Company
MatterHackers Inc,Filament Suppliers,United States,Company
FormLabs Inc,Resin Suppliers,United States,Company
3DXTech LLC,Filament Suppliers,United States,Company
ChemDirect USA,Chemical Suppliers,United States,Company
Proto-Pasta,Filament Suppliers,United States,Company
Uline Packaging Solutions,Packaging Suppliers,United States,Company
