supplier_name,supplier_group,country,supplier_type
Waaree Energies Ltd,Raw Material,India,Company
Vikram Solar Pvt Ltd,Raw Material,India,Company
Adani Solar,Raw Material,India,Company
Sungrow India Pvt Ltd,Raw Material,India,Company
Havells India Ltd,Raw Material,India,Company
Delta Electronics India,Raw Material,India,Company
Polycab India Ltd,Raw Material,India,Company
Exide Industries Ltd,Raw Material,India,Company
Nexus Power Systems,Raw Material,India,Company
Kaygen Solar Structures,Services,India,Company
